,answerPassageId,createdAt,answerPassageText,authorUID,question,corpusVersion,language
9781,80-50,2023-05-31 13:32:44.977471+00:00,"Dale solo leche materna o leche artificial (fórmula láctea). No le des jugo, leche de vaca, alimentos sólidos ni agua. Dale las vitaminas, los minerales o los medicamentos que el doctor recomiende.

source: https://health.gov/espanol/myhealthfinder/embarazo/consultas-doctor-o-partera/amamanta-tu-bebe-dale-pecho",QbpRA7yqNATq6w1ftOgCWKMptnh2,Como puedo ayudar a mi bebe constipado,v0.1,es
9789,39465-30,2024-05-02 11:47:30.526943+00:00,"Cómo fomentar habilidades en el hogar: Hablar con su bebé y leerle y, más adelante, estimular la conversación son contribuciones fundamentales para el desarrollo del habla y del lenguaje de su hijo. La amplitud del vocabulario de un niño de 2 años está directamente relacionada con cuánto le han hablado los padres y los cuidadores a ese niño desde la primera infancia.

Continúe leyendo aquí: https://espanol.kaiserpermanente.org/es/oregon-washington/health-wellness/health-encyclopedia/he.hw265266",lorena-trial,¿Cómo puedo ayudar a mi bebé a desarrollar habilidades lingüísticas?,v0.1,es
9803,38803-11,2023-06-15 11:04:28.507961+00:00,"Trata de no darle chupetes ni pezones artificiales hasta que tu bebé logre tener un buen agarre al pezón (generalmente alrededor de 3 a 4 semanas de vida).

source: https://espanol.womenshealth.gov/breastfeeding/learning-breastfeed/preparing-breastfeed",l3eCwZbbUNTonTWXrUayZ2no5C93,Como hacer que mi bebe de dos años deje de amamantar,v0.1,es
9841,30416-2,2024-05-02 11:46:42.638836+00:00,"¿Cómo sabe si su hijo no está durmiendo lo suficiente:<br>-

Continúe leyendo aquí: https://eclkc.ohs.acf.hhs.gov/es/publicacion/el-sueno-y-su-hijo-como-desarrollar-rutinas-saludables-para-dormir",lorena-trial,¿Cómo puedo saber si mi bebé está durmiendo lo suficiente?,v0.1,es
9843,41457-6,2024-05-01 10:48:46.739645+00:00,"¿Qué vacunas le darán a mi bebé: Entre las vacunas recomendadas, se incluyen las siguientes:

Continúe leyendo aquí: https://kidshealth.org/es/parents/med812m.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Vacunas para mi hijo de 10 meses,v0.1,es
9857,9151-20,2023-07-10 11:21:32.720305+00:00,"Cada niño aprende a ir al baño a su propio ritmo. La mayoría de los niños están listos para aprender a ir al baño cuando tienen entre 22 y 30 meses de edad.

source: https://espanol.kaiserpermanente.org/es/maryland-virginia-washington-dc/health-wellness/health-encyclopedia/he.ta3612",l3eCwZbbUNTonTWXrUayZ2no5C93,A que edad debe un bebé aprender a ir al baño,v0.1,es
9875,843-3,2023-05-04 13:07:17.429541+00:00,"Forman oraciones de 4 o más palabras y su vocabulario continúa aumentando. Se los debería entender claramente cuando hablan, aunque es posible que comentan algunos errores con los sonidos (como el seseo) y que tartamudeen, en especial si son varones.

source: https://kidshealth.org/es/parents/comm-4-to-5.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Porque mi Hijo de tres años no habla,v0.1,es
9888,87330-11,2024-05-02 11:47:59.851027+00:00,"¿Cómo puedo aliviar las molestias comunes del embarazo: Para las náuseas y los vómitos:

Continúe leyendo aquí: https://www.plannedparenthood.org/es/temas-de-salud/embarazo/atencion-prenatal/que-sucede-en-las-citas-de-atencion-prenatal",lorena-trial,¿Cuáles son algunas molestias comunes durante el embarazo y cómo puedo aliviarlas?,v0.1,es
9900,120372-26,2024-04-10 09:52:04.194776+00:00,"Usted no necesita darle agua a un bebé. De hecho, podría ser peligroso. Un bebé que esté tomando suficiente líquido mojará de 6 a 8 pañales en un período de 24 horas. Enseñarle al bebé a succionar un chupón o su propio dedo pulgar le proporciona bienestar entre las comidas.

Continúe leyendo aquí: https://medlineplus.gov/spanish/ency/article/002004.htm",LfrdulxiEUWpzj0NSZWpPoaHdR23,Cuando le puedo dar agua a mi bebé?,v0.1,es
9911,9940-20,2023-07-02 16:33:30.173884+00:00,"La cesárea es una operación en la que su bebé nace mediante un corte que el médico le hace a usted en el abdomen y en el útero (matriz).

source: https://nacersano.marchofdimes.org/bebe/mantener-la-leche-materna-sana-y-segura.aspx",WP2OKXjmE1gzxLXdmr7SSQ5HJzy2,Qué es una cesárea,v0.1,es
9923,246-7,2023-06-26 14:33:32.243396+00:00,"Cuando su bebé se acostumbre a comer su primer alimento, introduzca otros alimentos, como puré de carne, de frutas, de verduras y de legumbres (como las alubias o las lentejas) o el yogur. Pruebe un alimento cada vez y espere unos pocos días antes de probar un alimento nuevo para tener la seguridad de que su bebé no presenta una reacción alérgica.

source: https://kidshealth.org/es/parents/solid-foods.html",fnz9MTNcKvPJHWaZYBlh7hlPr0G3,¿Qué es un buen primer alimento sólido?,v0.1,es
9948,46081-1,2024-05-02 11:47:32.288150+00:00,"Algunos de los logros de su bebé – conocidos como los hitos del desarrollo – incluyen darse vuelta, sentarse, pararse, y posiblemente caminar. Es probable que su corazón se derrita cuando escuche los primeros sonidos, tales como “mama” o “dada”.

Continúe leyendo aquí: https://nacersano.marchofdimes.org/bebe/los-hitos-del-desarrollo-del-bebe.aspx",lorena-trial,¿Cuáles son algunos hitos del desarrollo comunes para los bebés?,v0.1,es
9985,1554-0,2023-04-29 00:39:19.554743+00:00,"El VIH (virus de la inmunodeficiencia humana) es un virus que ataca al sistema inmunitario. El sistema inmunitario se debilita, poniéndole difícil al cuerpo combatir las infecciones y algunos tipos de cánceres.

source: https://www.cdc.gov/reproductivehealth/index.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fchronicdisease%2Fresources%2Fpublications%2Faag%2Fmaternal.htm",dVwZK4f6qdMiBlg5fEU5HmvwqLa2,HIV,v0.1,es
9987,131047-11,2024-05-02 11:43:08.097577+00:00,"¿Cuáles son algunas pautas básicas para hacer ejercicio de manera segura durante el embarazo?

Continúe leyendo aquí: https://mothertobaby.org/es/hojas-informativas/el-ejercicio/",lorena-trial,¿Cuáles son algunos ejercicios seguros para hacer durante el embarazo?,v0.1,es
10016,8527-26,2023-06-15 10:31:10.907043+00:00,"Nuestra hija tenía 14 años cuando tuvo una reacción bastante grave a la picadura de una avispa chaqueta amarilla. Tenía hinchazón en casi todo el cuerpo y un intenso brote de ronchas. Estaba muy asustada. Después de hablarlo con nuestro médico y con un alergólogo, decidimos administrarle inyecciones antialérgicas. Nos dijeron que su riesgo de tener otra reacción similar era bastante alto, y consideramos que valía la pena afrontar los costos y las molestias de las inyecciones antialérgicas para reducir el riesgo.

source: https://espanol.kaiserpermanente.org/es/maryland-virginia-washington-dc/health-wellness/health-encyclopedia/he.rt1299",l3eCwZbbUNTonTWXrUayZ2no5C93,Porqué mi hija está muy flaca?,v0.1,es
10037,61837-1,2024-05-02 11:46:11.609618+00:00,"Signos y síntomas comunes del embarazo: Los primeros signos y síntomas más comunes del embarazo podrían incluir los siguientes:

Continúe leyendo aquí: https://www.mayoclinic.org/es/healthy-lifestyle/getting-pregnant/in-depth/symptoms-of-pregnancy/art-20043853",lorena-trial,¿Cuáles son algunos síntomas comunes del embarazo?,v0.1,es
10066,101139-0,2024-05-02 11:49:55.389906+00:00,"¿Cuáles son algunas de las complicaciones más comunes en el embarazo: La mayoría de los embarazos transcurren sin incidentes. Pero algunas veces puede haber complicaciones. A continuación se mencionan algunas de las complicaciones más comunes del embarazo.

Continúe leyendo aquí: https://myhealth.ucsd.edu/Spanish/RelatedItems/85,P04296",lorena-trial,¿Cuáles son algunas complicaciones comunes durante el embarazo y cómo se tratan?,v0.1,es
10104,122988-0,2024-05-02 11:42:27.151155+00:00,"Resúmenes: Antes de comenzar el trabajo de parto, la madre debe explorar las opciones para el alivio del dolor. Algunas mujeres desean un parto sin drogas y se apoyan en las diversas técnicas de respiración, masajes, visualización, hipnosis y otras estrategias para contrarrestar el dolor del trabajo de parto. Otras prefieren medicación para el dolor o anestesia regional (tal como la epidural, la cual adormece la mitad inferior del cuerpo.

Continúe leyendo aquí: https://medlineplus.gov/spanish/ency/esp_presentations/100198_3.htm",lorena-trial,¿Cuáles son algunos métodos comunes de alivio del dolor durante el parto?,v0.1,es
10110,124-2,2023-07-07 16:54:12.462973+00:00,"Dicho esto, es importante saber cuándo está bien amamantar y cuándo no. Estas son algunas guías comúnmente reportadas:

source: https://www.saludmadre.com/cuidadopersonal/estoy-enferma-todavia-puedo-amamantar-a-mi-bebe",JqIXVmpHhGa9SmYbZpvNasgjlyt2,¿Cuál es un buen momento para amamantar a lo largo del día?,v0.1,es
10111,38306-15,2023-07-01 10:41:50.516071+00:00,"Estos síntomas no significan que tu bebé sea alérgico a la leche, sino a algo que tú estás comiendo. Habla con el médico de tu bebé sobre cualquier síntoma. Si alguna vez tu bebé tiene problemas para respirar, llama al 911 o llévalo a la sala de emergencias más cercana.

source: https://espanol.womenshealth.gov/healthy-eating/food-allergies-and-sensitivities/food-allergies",l3eCwZbbUNTonTWXrUayZ2no5C93,Como se si mi bebe tiene alguna alergia,v0.1,es
10119,526-4,2023-06-01 01:53:26.199893+00:00,"La tiña en la cabeza puede empezar como una pequeña úlcera similar a un granito antes de volverse escamosa, laminada. Las láminas o copos que se desprenden se pueden parecer a la caspa. La tiña de la cabeza puede hacer que el cabello que cubría la zona se caiga o se rompa, dejando áreas calvas. La tiña también puede hacer que el cuero cabelludo se hinche, se ponga rojo y sea sensible al tacto.

source: https://kidshealth.org/es/parents/fungal-ringworm.html",LwYfnEgSVVSc8dFcNE1luSiaaJh2,¿Por qué se me cae el pelo?,v0.1,es
10130,1416-6,2023-06-02 13:09:34.207605+00:00,"Para diagnosticar la hipocalcemia, los médicos le harán preguntas, revisarán al bebé y pedirán análisis de sangre.

source: https://kidshealth.org/es/parents/hypocalcemia.html",LwYfnEgSVVSc8dFcNE1luSiaaJh2,¿Qué causa el hipo en el bebé?,v0.1,es
10133,121544-0,2024-05-06 14:44:38.495166+00:00,"Es un bebé nacido antes de 37 semanas completas de gestación (más de 3 semanas antes de la fecha prevista del parto).

Continúe leyendo aquí: https://medlineplus.gov/spanish/ency/article/001562.htm",AelZYirIiKRU36tUn84YHMSPNkE2,What is baby 1,v0.1,es
10138,101513-3,2024-04-03 13:48:26.881767+00:00,"Alejamiento o acercamiento de la sangre a la superficie de la piel

Continúe leyendo aquí: https://myhealth.ucsd.edu/Spanish/RelatedItems/90,P05622",JqIXVmpHhGa9SmYbZpvNasgjlyt2,Fever,v0.1,es
10150,2015-2,2023-05-19 11:22:31.024533+00:00,"La fiebre se refiere a un aumento temporal de la temperatura corporal, generalmente debido a una enfermedad. La temperatura corporal típica de una persona es de aproximadamente 98.6oF (37oC). Durante el embarazo, una temperatura corporal superior a 101oF (38.3oC) puede ser motivo de preocupación, especialmente si dura un periodo prolongado al principio del embarazo.

source: https://mothertobaby.org/es/hojas-informativas/la-hipertermia/",LfrdulxiEUWpzj0NSZWpPoaHdR23,Es un cambio en la temperatura corporal un signo de trabajo de parto,v0.1,es
10169,41457-6,2024-05-02 11:47:27.475386+00:00,"¿Qué vacunas le darán a mi bebé: Entre las vacunas recomendadas, se incluyen las siguientes:

Continúe leyendo aquí: https://kidshealth.org/es/parents/med812m.html",lorena-trial,¿Cuáles son algunas vacunas importantes para mi bebé?,v0.1,es
10195,1465-23,2023-04-29 09:10:25.850361+00:00,"Para administrar jarabes u otros líquidos, lo mejor es utilizar una jeringuilla (en lugar de una cuchara o cucharita) a fin de asegurarse de que su hijo toma exactamente la cantidad que debe tomar. Puede comprar este tipo de jeringuillas en su farmacia. ¿Y si su hijo se toma una dosis incorrecta de medicamento? Llame al farmacéutico o al pediatra del niño de inmediato y siga sus instrucciones.

source: https://kidshealth.org/es/parents/pharmacist.html",JqIXVmpHhGa9SmYbZpvNasgjlyt2,Jaundice,v0.1,es
10210,41457-6,2024-06-08 16:03:33.455334+00:00,"¿Qué vacunas le darán a mi bebé: Entre las vacunas recomendadas, se incluyen las siguientes:

Continúe leyendo aquí: https://kidshealth.org/es/parents/med812m.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Cuáles vacunas le pongo a mi recién nacido,v0.1,es
10211,925-4,2023-05-17 10:09:00.526768+00:00,"Si resulta que su hijo tiene alergia a los animales, deberán tomar la decisión de si conservan la mascota en su casa o le buscan un nuevo hogar. Lo mejor es sacar el animal de casa, aunque no suele ser la solución más fácil ni la más alegre. Su hijo, otros niños que viven en su casa e, incluso, los adultos de la familia lo pueden pasar mal al tomar esta decisión.

source: https://kidshealth.org/es/parents/asthma-pet.html",JqIXVmpHhGa9SmYbZpvNasgjlyt2,Je suis a petit chien dans la maison,v0.1,es
10228,2043-4,2023-06-26 15:08:27.428831+00:00,"Pídele a tus familiares y amigos que sean flexibles. Arma un bolso para llevar al hospital. Querrás llevar artículos personales y para el bebé.

source: https://espanol.womenshealth.gov/pregnancy/getting-ready-baby/last-minute-dos",fnz9MTNcKvPJHWaZYBlh7hlPr0G3,¿Qué debo llevar en mi bolsa de hospital para el trabajo de parto?,v0.1,es
10275,960-8,2023-06-03 10:50:08.336529+00:00,"Es posible que el alergólogo le haga a su hijo una prueba de punción cutánea. Implica colocar pequeñas cantidades de proteínas de la leche en el antebrazo o la espalda de su hijo, rasparle suavemente o pincharle la piel y esperar para ver si le salen unos bultitos rojos e hinchados en la piel. En caso afirmativo, significará que su hijo es alérgico a la leche.

source: https://kidshealth.org/es/parents/milkallergy.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Porque a mi bebe le dan alergias en la espalda,v0.1,es
10279,101531-10,2024-05-02 10:49:09.538857+00:00,"En casa, ayude a su bebé a aprender independencia y para ello permítale que gatee solo a otras habitaciones (seguras) por un período de tiempo.

Continúe leyendo aquí: https://myhealth.ucsd.edu/Spanish/RelatedItems/90,P05392",lorena-trial,¿Cuáles son algunas formas de fomentar la independencia de mi bebé?,v0.1,es
10315,99694-40,2024-04-26 10:27:24.721851+00:00,"Agregar cereal de arroz a la alimentación puede ser beneficioso para algunos bebés de más edad.

Continúe leyendo aquí: https://myhealth.ucsd.edu/Spanish/RelatedItems/90,P05473",l3eCwZbbUNTonTWXrUayZ2no5C93,Le puedo dar arroz a mi bebe,v0.1,es
10325,1465-23,2023-09-11 20:59:53.303843+00:00,"Para administrar jarabes u otros líquidos, lo mejor es utilizar una jeringuilla (en lugar de una cuchara o cucharita) a fin de asegurarse de que su hijo toma exactamente la cantidad que debe tomar. Puede comprar este tipo de jeringuillas en su farmacia. ¿Y si su hijo se toma una dosis incorrecta de medicamento? Llame al farmacéutico o al pediatra del niño de inmediato y siga sus instrucciones.

source: https://kidshealth.org/es/parents/pharmacist.html",3,jaundice,v0.1,es
10326,119599-11,2024-05-02 11:48:56.500306+00:00,"Su proveedor hablará con usted sobre cómo manejar las molestias comunes del embarazo como lo son:<br>- Náuseas del embarazo<br>- Dolores de espalda, de piernas y otros dolores que se presentan en el embarazo<br>- Problemas para dormir<br>- Cambios en la piel y el cabello<br>- Sangrado vaginal en las primeras etapas del embarazo.

Continúe leyendo aquí: https://medlineplus.gov/spanish/ency/article/007214.htm",lorena-trial,¿Cuáles son algunas molestias comunes durante el embarazo y cómo puedo manejarlas?,v0.1,es
10369,80-29,2023-06-03 11:42:40.927894+00:00,"Puedes proporcionarle leche materna al bebé incluso cuando no estás con él. La especialista en lactancia materna te puede enseñar a extraerte la leche y a conservarla.

source: https://health.gov/espanol/myhealthfinder/embarazo/consultas-doctor-o-partera/amamanta-tu-bebe-dale-pecho",l3eCwZbbUNTonTWXrUayZ2no5C93,Puedo darle pecho a mi bebe al mismo mientras estoy embarazada,v0.1,es
10391,43254-9,2024-05-02 10:48:56.635056+00:00,"¿Dónde me pueden ayudar: Si presenta síntomas de depresión posparto, pida ayuda lo antes posible. Cuanto antes la pida, antes se encontrará mejor. Empiece explicándoselo a su profesional de la salud o al de su bebé. Este profesional puede:

Continúe leyendo aquí: https://kidshealth.org/es/parents/ppd.html",lorena-trial,¿Cuáles son algunas señales de depresión posparto y cómo puedo obtener ayuda?,v0.1,es
10436,119622-10,2024-05-02 11:47:05.340293+00:00,"¿Qué alimentos debo evitar durante el embarazo: Durante el embarazo, debe evitar:

Continúe leyendo aquí: https://medlineplus.gov/spanish/pregnancyandnutrition.html",lorena-trial,¿Cuáles son algunos alimentos que debo evitar durante el embarazo?,v0.1,es
10444,99087-23,2024-04-03 02:25:36.162174+00:00,"¿Cómo se trata la hiperbilirrubinemia en los recién nacidos: El tratamiento dependerá de los síntomas, de la edad y del estado de salud general de su hijo. También dependerá de la gravedad de la afección.

Continúe leyendo aquí: https://myhealth.ucsd.edu/Spanish/DiseasesConditions/Pediatric/HighRiskNewborn/90,P05484",siG5by4Y2bT2jbzCGhPwucZpten2,es: ¿Por qué mi bebé tiene ictericia?,v0.1,es
10445,1629-22,2023-05-03 13:58:31.596285+00:00,"Cuando escoja frutos de mar, coma una variedad de pescados y mariscos, y limite la cantidad a aproximadamente 12 onzas por semana; esto equivale a aproximadamente dos comidas. Los pescados y mariscos de consumo habitual que tienen un bajo contenido de mercurio incluyen los siguientes: atún claro enlatado, bagre, abadejo, salmón y camarones. Pero como el atún blanco o albacore tiene más mercurio que el atún claro en lata, conviene no comer más de 6 onzas (o una comida) de atún blanco por semana.

source: https://kidshealth.org/es/parents/pregnancy-precautions.html",WP2OKXjmE1gzxLXdmr7SSQ5HJzy2,Puedo comer naranjas Estoy embarazada,v0.1,es
10461,377-16,2023-07-07 12:40:37.153023+00:00,"La anomalía de Ebstein se puede ver mediante una ecografía antes de que nazca el bebé. Se puede identificar en cuanto nace el bebé porque su piel se ve azul o su corazón emite unos sonidos poco habituales.

source: https://kidshealth.org/es/parents/ebstein-anomaly.html",JqIXVmpHhGa9SmYbZpvNasgjlyt2,Que es e bébé,v0.1,es
10462,38521-12,2023-07-01 09:28:22.724070+00:00,"Busca el ombligo de tu bebé. Si puedes ver el ombligo mientras tu bebé está agarrado, significa que no está lo suficientemente cómodo para agarrarse bien. Lleva el cuerpo de tu bebé un poco hacia adentro de modo que el ombligo esté orientado hacia ti. Mira a tu alrededor. Si puedes hablar y usar las manos sin concentrarte en mantener tu postura, significa que esa es una buena postura para el agarre.

source: https://espanol.womenshealth.gov/its-only-natural/overcoming-challenges/breastfeeding-checklist-how-get-good-latch",l3eCwZbbUNTonTWXrUayZ2no5C93,Es verdad que es malo amarrarle el ombligo al bebe,v0.1,es
10474,63379-3,2024-05-01 20:42:33.051739+00:00,"Síntomas: Las náuseas, con o sin vómitos, son comunes en el embarazo. Las náuseas matutinas suelen deberse a determinados olores o ciertos alimentos.

Continúe leyendo aquí: https://www.mayoclinic.org/es/diseases-conditions/morning-sickness/symptoms-causes/syc-20375254",lorena-trial,¿Cuáles son los síntomas comunes de las náuseas matutinas?,v0.1,es
10505,46056-45,2024-05-02 11:50:25.984269+00:00,"Avise a su profesional si le preocupan algunos malestares después del parto. Su cuerpo cambia mucho después de dar a luz. Algunos cambios son físicos, como los senos que se llenan de leche, y otros son emocionales, como sentir más estrés. Muchas de esas molestias y cambios corporales son normales. Pero si le preocupa cómo se siente, avise a su profesional. No tome medicamentos para tratar un malestar sin hablar primero con su profesional.

Continúe leyendo aquí: https://nacersano.marchofdimes.org/embarazo/condiciones-cronicas-de-salud-y-el-embarazo.aspx",lorena-trial,¿Cuáles son algunas preocupaciones comunes después del parto y cómo puedo abordarlas?,v0.1,es
10521,134-9,2023-05-11 10:00:40.464693+00:00,"Si mece a su bebé para que se duerma antes de ponerlo en la cuna, es posible que él espere que lo meza para poder conciliar el sueño cada vez que se despierte por la noche. En lugar de hacer eso, intente dejar al bebé en la cuna o el moisés mientras está somnoliento pero aún despierto. De este modo, su bebé aprenderá a quedarse dormido solo.

source: https://kidshealth.org/es/parents/sleep13m.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Porque no duerme de dia de mi bebe de un año,v0.1,es
10526,1465-23,2023-05-12 15:14:21.597000+00:00,"Para administrar jarabes u otros líquidos, lo mejor es utilizar una jeringuilla (en lugar de una cuchara o cucharita) a fin de asegurarse de que su hijo toma exactamente la cantidad que debe tomar. Puede comprar este tipo de jeringuillas en su farmacia. ¿Y si su hijo se toma una dosis incorrecta de medicamento? Llame al farmacéutico o al pediatra del niño de inmediato y siga sus instrucciones.

source: https://kidshealth.org/es/parents/pharmacist.html",JqIXVmpHhGa9SmYbZpvNasgjlyt2,Jaundice,v0.1,es
10540,8336-3,2023-07-01 11:22:51.345417+00:00,"Los síntomas dependerán del tipo de caída del cabello que tenga. Si el cabello se vuelve ralo, es posible que no note que se le está cayendo el pelo. Pero cuando el cabello comienza verdaderamente a caerse, entonces se cae por mechones. Es posible que se le caiga el cabello por todo el cuero cabelludo, o quizá solo se le caiga el cabello en una zona.

source: https://espanol.kaiserpermanente.org/es/southern-california/health-wellness/health-encyclopedia/he.hair-loss.aa151672",l3eCwZbbUNTonTWXrUayZ2no5C93,Porque se cae el cabello,v0.1,es
10545,799-15,2024-06-15 10:42:01.765780+00:00,"Tercer trimestre (de la semana 29 a la 40): A las 32 semanas:

Continúe leyendo aquí: https://espanol.womenshealth.gov/pregnancy/youre-pregnant-now-what/stages-pregnancy",l3eCwZbbUNTonTWXrUayZ2no5C93,32 semanas de embarazo,v0.1,es
10557,59-23,2023-06-01 15:58:54.142034+00:00,"“Por lo general, limpiar el cuerpo de la bomba con alcohol etílico o isopropílico a una concentración de 70 a 90 por ciento —o hirviendo las piezas del sacaleches en agua— también es aceptable”, señala Brown. “Si los tubos parecen estar cubiertos de moho o de una película opaca, suspenda su uso y reemplácelos de inmediato”.

source: https://www.fda.gov/consumers/articulos-para-el-consumidor-en-espanol/lo-que-hay-que-saber-al-comprar-o-usar-un-sacaleches",QbpRA7yqNATq6w1ftOgCWKMptnh2,Con que frecuencia se deben reemplazar las piezas de la bomba,v0.1,es
10613,9891-11,2023-06-08 10:16:56.783940+00:00,"Asegúrese de que se entere por usted de su embarazo. No es conveniente que su jefe se entere por sus otros compañeros de trabajo. Su jefe debe ser la primera persona del trabajo en enterarse de que está embarazada. Infórmele sobre el tiempo que quizás necesite ausentarse del trabajo para las visitas de cuidado prenatal. Es la atención médica que recibe durante el embarazo. Es importante acudir a todos sus chequeos de cuidado prenatal para asegurarse de que usted y su bebé estén sanos.

source: https://nacersano.marchofdimes.org/embarazo/asuntos-laborales-durante-el-embarazo.aspx",WP2OKXjmE1gzxLXdmr7SSQ5HJzy2,Que es el trabajador para mujeres embarazada,v0.1,es
10627,2057-88,2023-05-06 10:47:24.440045+00:00,"La madre está embarazada de más de un bebé (mellizos, trillizos, etc.). La madre tiene problemas de salud, que incluyen infección por VIH, herpes y cardiopatía. La madre corre peligro por hipertensión. La madre tiene problemas por la forma de su pelvis. Hay problemas con la placenta. Hay problemas con el cordón umbilical. Hay problemas con la posición del bebé, por ejemplo, que está posicionado de nalgas. El bebé muestra señales de sufrimiento, como por ejemplo, ritmo cardíaco disminuido.

source: https://espanol.womenshealth.gov/pregnancy/childbirth-and-beyond/labor-and-birth",l3eCwZbbUNTonTWXrUayZ2no5C93,Que problemas de salud de la mama le afectan Al bebe,v0.1,es
10633,232-10,2023-06-03 10:46:32.081916+00:00,"Ofrezca a su bebé alimentos variados, incluso los que una semana antes pueden no haberle gustado. No lo fuerce a comer, pero sea consciente de que pueden hacer falta 10 intentos o más hasta que un niño acepte una comida nueva.

source: https://kidshealth.org/es/parents/finger-foods.html",l3eCwZbbUNTonTWXrUayZ2no5C93,A qué tiempo es correcto que el bebe empiece a comer,v0.1,es
10638,2729-14,2023-06-15 10:24:00.486461+00:00,"Refleja las investigaciones sobre lo que los niños pequeños deben saber y ser capaces de hacer en los siguientes cinco dominios:

source: https://eclkc.ohs.acf.hhs.gov/es/planificacion-del-programa/foundations-excellence/tema-3-logros-de-las-metas-del-programa-que-apoyan-los-resultados-del-nino-y-la-familia",l3eCwZbbUNTonTWXrUayZ2no5C93,Cuales son los logros de un niño de un año?,v0.1,es
10706,8052-5,2023-07-01 10:29:00.544121+00:00,"Los cólicos no son causados por dolores ni enfermedades. Si cree que su bebé está llorando porque está lastimado o enfermo, llame a su médico.

source: https://espanol.kaiserpermanente.org/es/southern-california/health-wellness/health-encyclopedia/he.hw31504",l3eCwZbbUNTonTWXrUayZ2no5C93,Porque mi bebe recién nacido sufre de colicos,v0.1,es
10710,38306-15,2023-07-01 10:41:05.746345+00:00,"Estos síntomas no significan que tu bebé sea alérgico a la leche, sino a algo que tú estás comiendo. Habla con el médico de tu bebé sobre cualquier síntoma. Si alguna vez tu bebé tiene problemas para respirar, llama al 911 o llévalo a la sala de emergencias más cercana.

source: https://espanol.womenshealth.gov/healthy-eating/food-allergies-and-sensitivities/food-allergies",l3eCwZbbUNTonTWXrUayZ2no5C93,Cuando se si mi bebe es alérgico a alguna comida,v0.1,es
10727,1198-0,2023-04-29 01:43:30.693043+00:00,"Vacunarse contra el COVID-19 es la mejor manera de prevenir la propagación del virus y proteger a las familias de enfermedades graves. Vea este video para conocer cómo funcionan las vacunas.

source: https://kidshealth.org/es/parents/covid-19-vaccine-video.html",dVwZK4f6qdMiBlg5fEU5HmvwqLa2,Cuál es la mejor manera de prevenir la propagacíon del COVID-19?,v0.1,es
10812,2051-28,2023-06-03 10:16:12.022596+00:00,"Preeclampsia (preeclampsia) - Una afección que se da después de las 20 semanas de embarazo y que causa hipertensión y problemas renales y de otros órganos. También se la conoce como toxemia. Hipertensión Hinchazón en las manos y en el rostro Demasiada proteína en la orina Dolor de estómago Visión borrosa Mareo Dolores de cabeza La única cura es el parto, que no es la mejor opción para el bebé.

source: https://espanol.womenshealth.gov/pregnancy/youre-pregnant-now-what/pregnancy-complications",l3eCwZbbUNTonTWXrUayZ2no5C93,Causa de la preeclamsia,v0.1,es
10892,1513-14,2023-06-03 11:37:36.749441+00:00,"Asegúrese de que el área de la ""pausa obligada"" carezca de todo tipo de distracción, como juguetes, televisores y similares, y de que usted no dedica ningún tipo de atención (como hablarle o establecer contacto ocular) a su hijo durante la pausa obligada.

source: https://kidshealth.org/es/parents/toddler-tantrums.html",l3eCwZbbUNTonTWXrUayZ2no5C93,Que tipo de actividades puedo hacer con mi hijo para que se distraiga,v0.1,es
10895,1081-3,2023-05-17 10:31:59.274202+00:00,"Los niños con autismo pueden tener retrasos en el lenguaje o problemas para comunicarse con los demás. Pueden tener conductas extrañas o repetitivas o problemas de aprendizaje. No hay dos niños autistas que sean iguales y, en calidad de padre, usted es un experto en su hijo.

source: https://kidshealth.org/es/parents/autism-checklist-preschoolers.html",JqIXVmpHhGa9SmYbZpvNasgjlyt2,Síntonas autismo,v0.1,es
10907,9615-4,2023-06-13 14:28:29.930111+00:00,"La leche materna es el mejor alimento para el bebé. Su bebé comenzará a comer alimentos sólidos alrededor de los 6 meses, pero sigue recibiendo importantes nutrientes de la leche materna.

source: https://nacersano.marchofdimes.org/bebe.aspx",l3eCwZbbUNTonTWXrUayZ2no5C93,Como alimentar mejor a mi bebe de dos años,v0.1,es
10908,187-10,2023-06-23 13:26:19.206828+00:00,"Los bebés que tienen contacto piel con piel con sus padres se relajan y se sienten seguros y cómodos.

source: https://www.saludmadre.com/cuidado-del-bebe/los-nacimientos-prematuros-y-la-lactancia",fnz9MTNcKvPJHWaZYBlh7hlPr0G3,¿Cuánto tiempo tiene el bebé la piel sensible?,v0.1,es
10947,9351-52,2023-07-10 22:31:05.098658+00:00,"La mayoría de los bebés duermen un total de 18 horas al día. Se despiertan por poco tiempo, como mínimo, cada 2 o 3 horas. Siempre debe hacer dormir al bebé boca arriba, no sobre el abdomen. Esto reduce el riesgo del síndrome de muerte infantil súbita (SIDS, por sus siglas en inglés).

source: https://espanol.kaiserpermanente.org/es/southern-california/health-wellness/health-encyclopedia/he.abl1277",JqIXVmpHhGa9SmYbZpvNasgjlyt2,¿Cuánto tiempo debe dormir la siesta mi bebé?,v0.1,es
